id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos
6308,Hunter the Reckoning Redeemer,Xbox,1310,"Game, Box, Manual",Normal wear,,,
7324,Family Feud,Super Nintendo,475,Game only,Normal wear,,,
6948,Home Alone,Super Nintendo,850,Game only,Normal wear,,,
9778,Sonic 3D Blast,Sega Genesis,974,Game only,Normal wear,,,
37970,Gyromite [5 Screw],NES,662,Game only,Normal wear,,,
4437,Final Fantasy IX,Playstation,1999,"Game, Box, Manual",Normal wear,,,
6901,Donkey Kong Country 2,Super Nintendo,2459,"Box, Manual",Normal wear,,,
4697,Resident Evil 2,Playstation,3361,"Game, Box",Normal wear,,,
49921,Need for Speed Carbon [Greatest Hits],Playstation 2,695,Game only,Normal wear,,,
11693,Just Cause,Playstation 2,832,"Game, Box, Manual",Normal wear,,,
12462,Taboo the Sixth Sense,NES,699,Game only,Normal wear,,,
5799,Spiderman 2,Playstation 2,1317,"Game, Box, Manual",Normal wear,,,
5679,Rebel Raiders Operation Nighthawk,Playstation 2,402,"Game, Box, Manual",Normal wear,,,
11577,Kya Dark Lineage,Playstation 2,1355,"Game, Box, Manual",Normal wear,,,
8897,Ecco the Dolphin,Sega Genesis,910,Game only,Normal wear,,,
4332,Command and Conquer Red Alert Retaliation,Playstation,1999,"Game, Box, Manual",Normal wear,,,
14336,Get on Da Mic,Playstation 2,367,"Game, Box, Manual",Normal wear,,,
15378,Pac-Man,Atari 2600,871,Game only,Normal wear,,,
6701,Turok Evolution,Xbox,895,"Game, Box, Manual",Normal wear,,,
3437,NCAA Football 2003,Gamecube,707,"Game, Box",Normal wear,,,
8517,Arcade Classics,Sega Genesis,698,Game only,Normal wear,,,
13818,Super Caesar's Palace,Super Nintendo,298,Game only,Normal wear,,,
7191,The Lion King,Super Nintendo,1025,Game only,Normal wear,,,
5104,Dark Cloud,Playstation 2,1250,"Game, Box, Manual",Normal wear,,,
4336,Crash Bandicoot,Playstation,1485,Game only,Normal wear,,,
4544,Sheep Raider,Playstation,3464,"Game, Box, Manual",Normal wear,,,
4770,Spyro Year of the Dragon,Playstation,845,Game only,Normal wear,,,
13835,Cobra Command,Sega CD,1179,Game only,Normal wear,,,
9941,Teenage Mutant Ninja Turtles,NES,758,Game only,Normal wear,,,
12515,Werewolf,NES,1411,Game only,Normal wear,,,
3638,Viewtiful Joe,Gamecube,3759,"Game, Box, Manual",Normal wear,,,
30306,Fable,Xbox,895,"Game, Box, Manual",Normal wear,,w/bonus dvd,
6986,Lufia and The Fortress of Doom,Super Nintendo,5200,Game only,Normal wear,,,
9060,Grandia II,Sega Dreamcast,4498,"Game, Box, Manual",Normal wear,,,
5759,Silent Hill 4: The Room,Playstation 2,7177,"Game, Box",Normal wear,,,
3669,Zelda Ocarina of Time Master Quest,Gamecube,3953,Game only,Normal wear,,,
5619,Oni,Playstation 2,1699,"Game, Box, Manual",Normal wear,,,
11053,Final Fight Streetwise,Xbox,1791,"Game, Box",Normal wear,,,
3830,Mischief Makers,Nintendo 64,3497,Game only,Normal wear,,,
13776,TMNT,Playstation 2,846,"Game, Box",Normal wear,,,
4460,Gex,Playstation,1854,"Game, Box, Manual",Normal wear,,,
4468,Gran Turismo,Playstation,970,"Game, Box",Normal wear,,,
9868,Street Fighter II Special Champion Edition,Sega Genesis,929,Game only,Normal wear,,,
9315,Mega Man 3,NES,1854,Game only,Normal wear,,,
34075,WWF Raw,Sega 32X,2299,Game only,Normal wear,,,
6044,Zone of Enders 2nd Runner,Playstation 2,1022,"Game, Manual",Normal wear,,,
6925,Final Fantasy II,Super Nintendo,3998,Game only,Normal wear,,,
3933,Tony Hawk,Nintendo 64,1629,Game only,Normal wear,,,
3859,Nuclear Strike,Nintendo 64,1399,Game only,Normal wear,,,
3552,Spiderman,Gamecube,997,"Game, Box, Manual",Normal wear,,,
9374,Mortal Kombat II,Sega Genesis,1749,"Game, Box, Manual",Normal wear,,,
5121,Devil May Cry,Playstation 2,625,"Game, Box, Manual",Normal wear,,,
19316,Transformers: Revenge of the Fallen,Playstation 2,597,"Game, Box, Manual",Normal wear,,,
30306,Fable,Xbox,895,"Game, Box, Manual",Normal wear,,,
5364,Jimmy Neutron Jet Fusion,Playstation 2,725,"Game, Box, Manual",Normal wear,,,
4758,Space Invaders,Playstation,899,"Game, Box, Manual",Normal wear,,,
7145,Super Nintendo System,Super Nintendo,8998,Console only,Normal wear,,,
15138,Breakout,Atari 2600,740,Game only,Normal wear,,,
2285,Kingdom Hearts Chain of Memories,GameBoy Advance,781,Game only,Normal wear,,,
12283,Joust,NES,845,Game only,Normal wear,,,
15015,Nightshade,Playstation 2,3206,"Game, Box",Normal wear,,,
5937,Tony Hawk 4,Playstation 2,1200,"Game, Box, Manual",Normal wear,,,
15543,Tank Plus,Atari 2600,452,Game only,Normal wear,,,
5769,Siren,Playstation 2,3988,"Game, Box, Manual",Normal wear,,,
3584,Super Mario Sunshine,Gamecube,6950,"Game, Box, Manual",Normal wear,,players choice,
9800,Space Channel 5,Sega Dreamcast,1500,"Game, Box, Manual",Normal wear,,,
5827,Star Wars Battlefront,Playstation 2,1149,"Game, Box, Manual",Normal wear,,,
9228,Lawnmower Man,Sega Genesis,970,"Game, Box",Normal wear,,,
3943,Turok 2 Seeds of Evil,Nintendo 64,839,Game only,Normal wear,,,
7340,God of War 2,Playstation 2,899,"Game, Box, Manual",Normal wear,,,
5673,Rayman 2 Revolution,Playstation 2,2103,"Game, Box, Manual",Normal wear,,,
12394,Robocop,NES,794,Game only,Normal wear,,,
5774,Sly 2 Band of Thieves,Playstation 2,1663,"Game, Box, Manual",Normal wear,,,
10229,Yoshi's Cookie,NES,781,Game only,Normal wear,,,
12668,Beyblade Let It Rip,Playstation,591,"Game, Box, Manual",Normal wear,,,
2980,Pokemon Crystal,GameBoy Color,5085,Game only,Normal wear,,,
4652,PlayStation System,Playstation,3096,Console only,Normal wear,,,
12461,Town & Country Surf Designs: Wood and Water Rage,NES,599,Game only,Normal wear,,,
8704,Castlevania,NES,2373,Game only,Normal wear,,,
4381,Walt Disney World Quest: Magical Racing Tour,Playstation,946,Game only,Normal wear,,,
5162,Dynasty Warriors 3 Xtreme Legends,Playstation 2,2200,"Game, Box, Manual",Normal wear,,,
5905,The Sims,Playstation 2,862,"Game, Box, Manual",Normal wear,,,
12110,Blaster Master,NES,867,Game only,Normal wear,,,
4880,Vandal Hearts,Playstation,3489,"Game, Box",Normal wear,,,
11362,Special Forces Nemesis Strike,Xbox,596,"Game, Box, Manual",Normal wear,,,
3740,Diddy Kong Racing,Nintendo 64,2299,Game only,Normal wear,,,
4589,Monsters Inc,Playstation,835,"Game, Box, Manual",Normal wear,,,
12237,Freedom Force,NES,1389,Game only,Normal wear,,,
7022,NBA Jam,Super Nintendo,1250,Game only,Normal wear,,,
12832,Ready 2 Rumble Boxing,Playstation,553,"Game, Box, Manual",Normal wear,,,
3681,Armorines Project SWARM,Nintendo 64,874,Game only,Normal wear,,,
32729,Pong Sports,Atari 2600,1859,Game only,Normal wear,,,
4824,The Grinch,Playstation,1472,"Game, Box, Manual",Normal wear,,,
12170,1943: The Battle of Midway,NES,1537,Game only,Normal wear,,,
4780,Star Wars Rebel Assault 2,Playstation,793,"Game, Box, Manual",Normal wear,,,
13089,Doom,Sega 32X,1418,Game only,Normal wear,,,
11999,Mach Rider,NES,799,Game only,Normal wear,,,
5810,SpongeBob SquarePants Lights Camera Pants,Playstation 2,897,"Game, Box, Manual",Normal wear,,,
4442,Final Fantasy VII,Playstation,3999,"Game, Box, Manual",Normal wear,,,
4842,Time Crisis,Playstation,1464,"Game, Box, Manual",Normal wear,,,
4677,Quake II,Playstation,1999,"Game, Box, Manual",Normal wear,,,
12635,Golden Nugget,Playstation,537,"Game, Box, Manual",Normal wear,,,
37689,Tenchu: Stealth Assassins [Greatest Hits],Playstation,1295,"Game, Box, Manual",Normal wear,,,
7143,Super Metroid,Super Nintendo,4623,Game only,Normal wear,,,
5259,Gauntlet Dark Legacy,Playstation 2,2766,"Game, Box, Manual",Normal wear,,,
8801,Dance Aerobics,NES,422,Game only,Normal wear,,,
3337,Indigo GameCube System,Gamecube,5146,Console only,Normal wear,,,
10749,Alfa Romeo Racing Italiano,Playstation 2,378,"Game, Box, Manual",Normal wear,,,
16200,History Channel Civil War Secret Missions,Playstation 2,799,"Game, Box, Manual",Normal wear,,,
3701,Battlezone: Rise of the Black Dogs,Nintendo 64,1829,Game only,Normal wear,,,
7130,Super Castlevania IV,Super Nintendo,3650,Game only,Normal wear,,,
16154,NASCAR 2000,Playstation,477,"Game, Box, Manual",Normal wear,,,
3392,Mega Man Anniversary Collection,Gamecube,1388,"Game, Box, Manual",Normal wear,,,
2215,Golden Sun,GameBoy Advance,6999,"Game, Box, Manual",Normal wear,,,
3322,Harry Potter Prisoner of Azkaban,Gamecube,1052,"Game, Box, Manual",Normal wear,,,
10223,X-Men,Sega Genesis,1933,"Game, Box",Normal wear,,,
3803,Ken Griffey Jr Baseball,Nintendo 64,944,Game only,Normal wear,,,
3836,Mortal Kombat Mythologies: Sub-Zero,Nintendo 64,1755,Game only,Normal wear,,,
7454,Stunt Race FX,Super Nintendo,731,Game only,Normal wear,,,
6964,Ken Griffey Jr Major League Baseball,Super Nintendo,1315,Game only,Normal wear,,,
11813,Flushed Away,Gamecube,701,"Game, Box, Manual",Normal wear,,,
5352,Inuyasha Secret of the Cursed Mask,Playstation 2,3700,"Game, Box, Manual",Normal wear,,,
8564,Bases Loaded,NES,459,Game only,Normal wear,,,
3747,Duke Nukem 64,Nintendo 64,2414,Game only,Normal wear,,,
3802,Jet Force Gemini,Nintendo 64,1805,"Game, Manual",Normal wear,,,
6569,Shenmue II,Xbox,1000,"Game, Box, Manual",Normal wear,,,
5142,Dragon Ball Z Budokai 3,Playstation 2,1938,"Game, Box",Normal wear,,,
5087,Crash Nitro Kart,Playstation 2,872,"Game, Box, Manual",Normal wear,,,
4635,Oddworld Abe's Oddysee,Playstation,841,Game only,Normal wear,,,
49815,Dead to Rights [Greatest Hits],Playstation 2,675,"Game, Box",Normal wear,,,
5318,Haven Call of the King,Playstation 2,544,"Game, Box, Manual",Normal wear,,,
6736,Xbox System,Xbox,5480,Console only,Normal wear,,,
5228,Final Fantasy XII [Collector's Edition],Playstation 2,497,Game only,Normal wear,,,
16388,NES Advantage Controller,NES,1293,Controller only,Normal wear,,,
12150,Defender II,NES,693,Game only,Normal wear,,,
9998,The Revenge of Shinobi,Sega Genesis,1752,Game only,Normal wear,,,
6488,Night Caster,Xbox,650,"Game, Box, Manual",Normal wear,,,
12238,Friday the 13th,NES,2512,Game only,Normal wear,,,
9636,RBI Baseball 3,Sega Genesis,325,Game only,Normal wear,,,
9459,NFL Football,NES,339,Game only,Normal wear,,,
5847,Stuntman,Playstation 2,561,"Game, Box, Manual",Normal wear,,,
11993,Gradius,NES,1237,Game only,Normal wear,,,
15363,Night Driver,Atari 2600,437,Game only,Normal wear,,,
6296,Harry Potter Sorcerers Stone,Xbox,3711,"Game, Box, Manual",Normal wear,,,
7254,Zelda Link to the Past,Super Nintendo,2350,Game only,Normal wear,,,
5413,Lord of the Rings Fellowship of the Ring,Playstation 2,674,"Game, Box, Manual",Normal wear,,,
4941,.hack Infection,Playstation 2,2254,"Game, Box, Manual",Normal wear,,,
4755,Soul of Samurai,Playstation,1076,Game only,Normal wear,,,
18475,Sega Genesis Model 2 Console,Sega Genesis,2263,Console only,Normal wear,,,
5654,Project Snowblind,Playstation 2,611,"Game, Box, Manual",Normal wear,,,
5443,Maximo Ghosts to Glory,Playstation 2,1362,"Game, Box, Manual",Normal wear,,,
9891,Super Mario Bros 3,NES,1298,Game only,Normal wear,,,
4439,Final Fantasy Chronicles,Playstation,1159,Game only,Normal wear,,,
19305,Zelda Majora's Mask [Collector's Edition],Nintendo 64,14463,"Game, Box, Manual",Normal wear,,,
5683,Red Faction II,Playstation 2,693,"Game, Box, Manual",Normal wear,,,
10114,Virtua Fighter 2,Sega Saturn,1999,"Game, Box, Manual",Normal wear,,,
9050,Golf,NES,599,Game only,Normal wear,,,
12355,Pin-Bot,NES,617,Game only,Normal wear,,,
49935,Onimusha Warlords [Greatest Hits],Playstation 2,688,"Game, Box, Manual",Normal wear,,,
12178,Airwolf,NES,500,Game only,Normal wear,,,
3727,Chopper Attack,Nintendo 64,760,Game only,Normal wear,,,
8910,ESPN Baseball Tonight,Sega Genesis,326,Game only,Normal wear,,,
21072,Pokemon SoulSilver Version,Nintendo DS,7704,Game only,Normal wear,,,
6525,Psychonauts,Xbox,2969,"Game, Box, Manual",Normal wear,,,
4744,Silent Hill,Playstation,9999,"Game, Box, Manual",Normal wear,,,
12015,Xevious,NES,519,Game only,Normal wear,,,
3790,Hexen,Nintendo 64,1392,Game only,Normal wear,,,
12216,Dragon Warrior,NES,764,Game only,Normal wear,,,
5117,Demon Stone,Playstation 2,741,"Game, Box, Manual",Normal wear,,,
7080,Secret of Evermore,Super Nintendo,6872,"Game, Box, Manual",Normal wear,,,
3760,Fighter Destiny 2,Nintendo 64,1937,Game only,Normal wear,,,
3674,1080 Snowboarding,Nintendo 64,1000,Game only,Normal wear,,,
30734,Sonic Colors,Wii,1456,"Game, Box, Manual",Normal wear,,,
4565,Medievil II,Playstation,4715,"Game, Box, Manual",Normal wear,,,
5811,SpongeBob SquarePants The Movie,Playstation 2,1595,"Game, Box, Manual",Normal wear,,,
5439,Marvel vs Capcom 2,Playstation 2,12943,"Game, Box, Manual",Normal wear,,,
9790,Sonic the Hedgehog 2,Sega Genesis,1219,"Game, Box",Normal wear,,,
4708,Road Rash 3D,Playstation,587,Game only,Normal wear,,,
7231,Wayne's World,Super Nintendo,883,Game only,Normal wear,,,
5109,Dead or Alive 2,Playstation 2,817,"Game, Box",Normal wear,,,
9652,Resident Evil CODE Veronica,Sega Dreamcast,3640,"Game, Box, Manual",Normal wear,,,
13691,Ultimate Mortal Kombat 3,Super Nintendo,3276,Game only,Normal wear,,,
5612,007 Nightfire,Playstation 2,727,"Game, Box, Manual",Normal wear,,,
7170,Tetris 2,Super Nintendo,869,Game only,Normal wear,,,
9022,6-Pak,Sega Genesis,1168,Game only,Normal wear,,,
14343,Dragon Ball Z Budokai 2,Playstation 2,999,"Game, Box, Manual",Normal wear,,,
6844,Animaniacs,Super Nintendo,1648,"Game, Manual",Normal wear,,,
7002,Mega Man X,Super Nintendo,2274,Game only,Normal wear,,,
2052,Castlevania Circle of the Moon,GameBoy Advance,2027,Game only,Normal wear,,,
11864,Silver Slim Playstation 2 System,Playstation 2,6541,Console only,Normal wear,,,
12358,Platoon,NES,724,Game only,Normal wear,,,
2196,Fushia Gameboy Advance System,GameBoy Advance,6448,"Console, Box, Manual",Normal wear,,,
9449,NES Open Tournament Golf,NES,1000,Game only,Normal wear,,,
38029,Spy Hunter [5 Screw],NES,865,Game only,Normal wear,,,
12452,Super Mario Bros Duck Hunt World Class Track Meet,NES,451,Game only,Normal wear,,,
7254,Zelda Link to the Past,Super Nintendo,2350,Game only,Normal wear,,canadian version,
3364,Luigi's Mansion,Gamecube,4867,"Game, Box, Manual",Normal wear,,players choice,
6691,Tony Hawk Underground,Xbox,952,"Game, Box, Manual",Normal wear,,,
12427,Sky Shark,NES,587,Game only,Normal wear,,,
4457,Gauntlet Legends,Playstation,1705,"Game, Box, Manual",Normal wear,,,
9624,Rampart,NES,1328,Game only,Normal wear,,,
5681,Red Dead Revolver,Playstation 2,1249,"Game, Box, Manual",Normal wear,,,
10920,Rock Band,Playstation 2,650,"Game, Box, Manual",Normal wear,,,
4456,Gameshark,Playstation,2054,Accessory only,Normal wear,,,
3532,Shrek Extra Large,Gamecube,927,"Game, Box, Manual",Normal wear,,,
6833,Addams Family Values,Super Nintendo,1492,Game only,Normal wear,,,
5676,RC Revenge Pro,Playstation 2,610,"Game, Box, Manual",Normal wear,,,
3818,Mario Kart 64,Nintendo 64,3566,Game only,Normal wear,,,
11945,Valkyrie Profile,Playstation,27293,"Game, Box, Manual",Normal wear,,,
10425,Dynasty Warriors 4 Empires,Playstation 2,729,"Game, Box",Normal wear,,,
12477,The Mafat Conspiracy,NES,799,Game only,Normal wear,,,
2576,Spyro 2 Season of Flame,GameBoy Advance,671,Game only,Normal wear,,,
12504,Ultima Exodus,NES,1093,Game only,Normal wear,,,
9647,The Ren and Stimpy Show Stimpy's Invention,Sega Genesis,1451,"Game, Box, Manual",Normal wear,,,
6491,Ninja Gaiden,Xbox,799,"Game, Box, Manual",Normal wear,,,
3697,Banjo-Tooie,Nintendo 64,3999,Game only,Normal wear,,,
9549,Phantasy Star Online Version 2,Sega Dreamcast,2391,"Game, Box, Manual",Normal wear,,,
3945,Turok Dinosaur Hunter,Nintendo 64,3732,"Game, Box, Manual",Normal wear,,,
3059,Super Mario Land,GameBoy,1268,Game only,Normal wear,,,
9381,Ms. Pac-Man,Sega Genesis,750,"Game, Box, Manual",Normal wear,,,
3321,Harry Potter and the Goblet of Fire,Gamecube,698,"Game, Box, Manual",Normal wear,,,
11039,Capcom Fighting Evolution,Playstation 2,913,Game only,Normal wear,,,
5837,State of Emergency,Playstation 2,643,"Game, Box",Normal wear,,,
7229,Wario's Woods,Super Nintendo,1045,Game only,Normal wear,,,
14431,FOX Sports College Hoops '99,Nintendo 64,543,Game only,Normal wear,,,
14157,World Series Baseball,Sega Genesis,703,"Game, Box, Manual",Normal wear,,,
5989,We Love Katamari,Playstation 2,1700,"Game, Box, Manual",Normal wear,,,
7460,Super Gameboy,Super Nintendo,2222,Accessory only,Normal wear,,,
9726,Shanghai II Dragon's Eye,Sega Genesis,777,"Game, Box, Manual",Normal wear,,,
5416,Lord of the Rings Two Towers,Playstation 2,639,"Game, Box, Manual",Normal wear,,,
14206,Tales of Legendia,Playstation 2,2305,"Game, Box, Manual",Normal wear,,,
1970,Advance Wars 2,GameBoy Advance,2133,Game only,Normal wear,,,
3724,Chameleon Twist,Nintendo 64,2292,Game only,Normal wear,,,
5746,Shaun Palmers Pro Snowboarder,Playstation 2,509,"Game, Box, Manual",Normal wear,,,
3403,Midway Arcade Treasures 3,Gamecube,2340,"Game, Box, Manual",Normal wear,,,
3822,Mario Tennis,Nintendo 64,5450,"Game, Box, Manual",Normal wear,,,
5830,Star Wars Clone Wars,Playstation 2,897,"Game, Box, Manual",Normal wear,,,
4953,Ace Combat 5 Unsung War,Playstation 2,834,"Game, Box, Manual",Normal wear,,,
5143,Dragon Ball Z Budokai Tenkaichi,Playstation 2,1199,"Game, Box, Manual",Normal wear,,,
10052,Top Gun The Second Mission,NES,524,Game only,Normal wear,,,
9422,NBA Jam,Sega Genesis,1231,"Game, Box, Manual",Normal wear,,,
6289,Halo 2,Xbox,1193,"Game, Box, Manual",Normal wear,,,
16206,College Slam,Super Nintendo,329,Game only,Normal wear,,,
9942,Teenage Mutant Ninja Turtles III The Manhattan Project,NES,4602,"Game, Manual",Normal wear,,,
5775,Sly 3 Honor Among Thieves,Playstation 2,997,"Game, Box, Manual",Normal wear,,,
3219,Chicken Little,Gamecube,848,"Game, Box",Normal wear,,,
5245,007 From Russia With Love,Playstation 2,641,Game only,Normal wear,,,
3883,Rat Attack,Nintendo 64,2881,Game only,Normal wear,,,
5198,Fairly Odd Parents: Breakin' Da Rules,Playstation 2,1244,"Game, Box",Normal wear,,,
5386,Kingdom Hearts 2,Playstation 2,927,"Game, Box, Manual",Normal wear,,,
3977,Zelda Ocarina of Time,Nintendo 64,4120,"Game, Manual",Normal wear,,,
12359,Popeye,NES,1405,Game only,Normal wear,,,
8797,Cyborg Justice,Sega Genesis,695,Game only,Normal wear,,,
5145,Dragon Ball Z Sagas,Playstation 2,1300,"Game, Box, Manual",Normal wear,,,
5575,Need for Speed Hot Pursuit 2,Playstation 2,1175,"Game, Box, Manual",Normal wear,,,
5329,Hitman Blood Money,Playstation 2,541,"Game, Box",Normal wear,,,
10456,Open Season,Playstation 2,499,"Game, Box",Normal wear,,,
15612,Metal Saga,Playstation 2,3030,"Game, Box, Manual",Normal wear,,,
3842,Namco Museum,Nintendo 64,1248,Game only,Normal wear,,,
11867,No More Heroes,Wii,2947,"Game, Box, Manual",Normal wear,,,
3865,Perfect Dark,Nintendo 64,3508,"Game, Box, Manual",Normal wear,,,
5374,Kengo Master Bushido,Playstation 2,687,"Game, Box, Manual",Normal wear,,,
4209,Alundra,Playstation,11400,"Game, Box, Manual",Normal wear,,,
4280,Breath of Fire 3,Playstation,5249,"Game, Box, Manual",Normal wear,,,
49834,Enter the Matrix [Greatest Hits],Playstation 2,559,"Game, Box, Manual",Normal wear,,,
12415,Shooting Range,NES,984,Game only,Normal wear,,,
5451,Mega Man X Command Mission,Playstation 2,2999,"Game, Box, Manual",Normal wear,,,
18675,Wacky Worlds Creativity Studio,Sega Genesis,652,Game only,Normal wear,,,
5882,Tenchu Fatal Shadows,Playstation 2,1880,"Game, Box, Manual",Normal wear,,,
14133,NFL Quarterback Club 99,Nintendo 64,351,Game only,Normal wear,,,
10508,Fire Pro Wrestling Returns,Playstation 2,1093,"Game, Box, Manual",Normal wear,,,
12694,Contender 2,Playstation,346,Game only,Normal wear,,,
5833,Star Wars Episode III Revenge of the Sith,Playstation 2,806,"Game, Box, Manual",Normal wear,,,
9269,Madden NFL '94,Sega Genesis,561,Game only,Normal wear,,,
5977,Virtua Fighter 4,Playstation 2,714,"Game, Box, Manual",Normal wear,,,
5418,Mad Maestro,Playstation 2,442,"Game, Box, Manual",Normal wear,,,
12278,Jaws,NES,788,Game only,Normal wear,,,
11992,Ghosts 'n Goblins,NES,1394,Game only,Normal wear,,,
15241,Football,Atari 2600,322,Game only,Normal wear,,,
6595,Splinter Cell Chaos Theory,Xbox,1010,"Game, Box, Manual",Normal wear,,,
15593,Yars' Revenge,Atari 2600,646,Game only,Normal wear,,,
12303,Legacy of the Wizard,NES,694,Game only,Normal wear,,,
5685,Reign of Fire,Playstation 2,506,"Game, Box",Normal wear,,,
11990,Excitebike,NES,751,Game only,Normal wear,,,
21587,NES Max Controller,NES,999,Controller only,Normal wear,,,
6617,Star Wars Knights of the Old Republic,Xbox,1506,"Game, Box, Manual",Normal wear,,,
4227,Army Men World War Team Assault,Playstation,779,"Game, Box, Manual",Normal wear,,,
10562,Super Mario Galaxy,Wii,1995,"Game, Box, Manual",Normal wear,,,
3348,Killer 7,Gamecube,4999,"Game, Box, Manual",No blemishes,,,
3667,Zelda Collector's Edition,Gamecube,4900,Game only,Normal wear,,,
3895,Rugrats in Paris,Nintendo 64,714,Game only,Normal wear,,,
16035,Guitar Hero On Tour Decades [Bundle],Nintendo DS,728,"Game, Box, Manual",Normal wear,,,
5621,Onimusha 3 Demon Siege,Playstation 2,1420,"Game, Box, Manual",Normal wear,,,
6122,Call of Duty Finest Hour,Xbox,748,"Game, Box, Manual",Normal wear,,,
5385,Kingdom Hearts,Playstation 2,900,"Game, Box, Manual",Normal wear,,,
9765,Snake's Revenge,NES,1413,Game only,Normal wear,,,
9541,PGA Tour 96,Sega Genesis,609,"Game, Box, Manual",Normal wear,,,
3970,WWF No Mercy,Nintendo 64,3130,Game only,Normal wear,,,
3862,Paper Mario,Nintendo 64,2817,Manual only,Normal wear,,,
14706,Dragon's Lair,Sega CD,2590,Game only,Normal wear,,,
12880,Steel Reign,Playstation,875,"Game, Box, Manual",Normal wear,,,
6889,Chrono Trigger,Super Nintendo,15739,Game only,Normal wear,,,
3511,Resident Evil Zero,Gamecube,1146,"Game, Box",Normal wear,,,
14851,NFL Xtreme 2,Playstation,306,Game only,Normal wear,,,
5651,Prince of Persia Warrior Within,Playstation 2,650,"Game, Box, Manual",Normal wear,,,
10952,MDK 2 Armageddon,Playstation 2,571,"Game, Box",Normal wear,,,
12397,Roller Games,NES,797,Game only,Normal wear,,,
12723,Eternal Eyes,Playstation,1349,"Game, Box, Manual",Normal wear,,,
3752,Excitebike 64,Nintendo 64,550,Manual only,Normal wear,,,
3737,Dark Rift,Nintendo 64,938,Game only,Normal wear,,,
9842,Star Trek 25th Anniversary,NES,1499,Game only,Normal wear,,,
6375,MechAssault 2 Lone Wolf,Xbox,530,"Game, Box, Manual",Normal wear,,,
4243,Bass Landing,Playstation,1003,"Game, Box",Normal wear,,,
5455,Mercenaries,Playstation 2,963,"Game, Box",Normal wear,,,
6703,Ty the Tasmanian Tiger 2 Bush Rescue,Xbox,871,"Game, Box",Normal wear,,,
4787,Strider 2,Playstation,10366,"Game, Box, Manual",Normal wear,,,
12089,ToeJam and Earl,Sega Genesis,2665,Game only,Normal wear,,,
12451,Super Mario Bros and Duck Hunt,NES,997,"Game, Manual",Normal wear,,,
7140,Super Mario RPG,Super Nintendo,5486,Game only,Normal wear,,,
9280,Malice,Playstation 2,968,"Game, Box, Manual",Normal wear,,,
12422,Skate or Die,NES,599,Game only,Normal wear,,,
49985,SSX 3 [Greatest Hits],Playstation 2,991,"Game, Box, Manual",Normal wear,,,
15166,Combat,Atari 2600,399,Game only,Normal wear,,,
49829,Dragon Ball Z Budokai Tenkaichi 3 [Greatest Hits],Playstation 2,10482,"Game, Box, Manual",Normal wear,,,
7154,Super Star Wars Empire Strikes Back,Super Nintendo,4750,"Game, Box, Manual",Normal wear,,,
49822,Final Fantasy VII Dirge of Cerberus [Greatest Hits],Playstation 2,1499,"Game, Box, Manual",Normal wear,,,
9189,Jurassic Park,Sega Genesis,632,Game only,Normal wear,,,
21970,Donkey Konga (Game only),Gamecube,1000,"Game, Box, Manual",Normal wear,,,
6831,ActRaiser 2,Super Nintendo,2627,Game only,Normal wear,,,
5878,Tekken 4,Playstation 2,826,"Game, Box",Normal wear,,,
2985,Pokemon Red,GameBoy,2564,Game only,Normal wear,,,
